x_coord,y_coord,pwe_pm25
551800,5948606,4.70605696062335e-06
551900,5948606,4.69752884748061e-06
552000,5948606,4.69426610130995e-06
552100,5948606,4.69100326327598e-06
552200,5948606,2.50799727362658e-05
552300,5948606,0.00021603442087892
552400,5948606,0.000221976803066247
552500,5948606,7.2512175498244e-06
552600,5948606,1.74662075499915e-06
552700,5948606,1.74662075499915e-06
552800,5948606,1.60855443967608e-06
552900,5948606,1.60855443967608e-06
553000,5948606,1.60855443967608e-06
553100,5948606,1.60855443967608e-06
553200,5948606,9.71182611957459e-05
553300,5948606,3.72202352032527e-06
553400,5948606,1.60855443967608e-06
553500,5948606,1.60855443967608e-06
553600,5948606,1.60855443967608e-06
553700,5948606,1.60855443967608e-06
553800,5948606,1.59705802375717e-06
553900,5948606,1.59705802375717e-06
554000,5948606,1.59705802375717e-06
554100,5948606,1.59705802375717e-06
554200,5948606,1.59705802375717e-06
554300,5948606,1.59705802375717e-06
554400,5948606,1.59705802375717e-06
554500,5948606,1.59705802375717e-06
554600,5948606,1.59705802375717e-06
554700,5948606,1.59705802375717e-06
554800,5948606,1.5810877889632e-06
554900,5948606,1.5810877889632e-06
555000,5948606,1.5810877889632e-06
555100,5948606,1.5810877889632e-06
555200,5948606,1.5810877889632e-06
555300,5948606,1.5810877889632e-06
555400,5948606,1.5810877889632e-06
555500,5948606,1.5810877889632e-06
555600,5948606,1.5810877889632e-06
555700,5948606,1.5810877889632e-06
555800,5948606,1.57676679910111e-06
555900,5948606,1.57676679910111e-06
556000,5948606,1.57676679910111e-06
556100,5948606,7.60117393628458e-05
556200,5948606,7.67885431162241e-05
556300,5948606,7.6788543116224e-05
556400,5948606,7.6788543116224e-05
556500,5948606,7.6788543116224e-05
556600,5948606,7.6788543116224e-05
556700,5948606,7.67885431162241e-05
556800,5948606,7.66350368107815e-05
556900,5948606,2.10759126479322e-06
557000,5948606,1.57361471890722e-06
557100,5948606,1.57361471890722e-06
557200,5948606,1.57361471890722e-06
557300,5948606,1.57361471890722e-06
557400,5948606,3.13918927690307e-06
557500,5948606,3.14722943781444e-06
557600,5948606,2.16326252132663e-06
557700,5948606,3.14328082908063e-06
557800,5948606,3.1700860510499e-06
557900,5948606,3.1700860510499e-06
558000,5948606,1.5893362058465e-06
558100,5948606,1.58504302552495e-06
558200,5948606,1.58504302552495e-06
558300,5948606,1.58504302552495e-06
558400,5948606,1.58504302552495e-06
558500,5948606,1.58504302552495e-06
558600,5948606,1.58504302552495e-06
